x_coor,y_coor
2,2
1.691647256,2.136452319
1.544664072,2.188620614
1.40533322,2.229546076
1.33899447,2.245802471
1.275046203,2.259300684
1.213576404,2.270097568
1.15464269,2.278265458
1.098275145,2.283889793
1.0444802,2.287066301
0.993242319,2.287899723
0.944528452,2.286500935
0.898290727,2.282984888
0.854467487,2.277470592
0.812987404,2.270078033
0.773771257,2.26092734
0.701786248,2.237826066
0.637791874,2.209091383
0.581046064,2.175594941
0.530822645,2.138138199
0.447207068,2.054185129
0.381999235,1.962147341
0.331151329,1.865799544
0.291469232,1.767952091
0.260489524,1.670641649
0.236336392,1.57530781
0.217592547,1.482938979
0.203191503,1.394188345
0.192333405,1.309462447
0.184420765,1.228988083
0.181425428,1.190379595
0.179010308,1.152862258
0.177138273,1.116433967
0.176395858,1.098626477
0.175777859,1.081088666
0.175281194,1.063819193
0.174902979,1.046816632
0.174640603,1.030079398
0.174491749,1.013605725
0.174454353,0.997393702
0.174526602,0.981441287
0.174706853,0.965746382
0.174993655,0.950306817
0.175385791,0.935120304
0.175882248,0.920184473
0.177185005,0.891055037
0.178897253,0.862898556
0.181017048,0.835694351
0.186483955,0.784057839
0.193618106,0.735973809
0.202487258,0.691270265
0.213192925,0.64977834
0.225870425,0.611334297
0.240688694,0.575782205
0.257852103,0.54297474
0.277602088,0.51277459
0.300219742,0.485055315
0.326028747,0.459702198
0.355398495,0.436613222
0.388747651,0.415699906
0.42654753,0.396888556
0.469325221,0.380121685
0.517666197,0.365359864
0.572215245,0.352584284
0.633678719,0.341799014
0.667238759,0.337161787
0.702816846,0.333036756
0.740515576,0.329433233
0.780439337,0.326363186
0.822695309,0.323841032
0.844731888,0.322790687
0.867391953,0.321884184
0.890688818,0.321124314
0.914635833,0.320514083
0.939246272,0.320056742
0.964533302,0.319755806
0.990509606,0.319615134
1.017187629,0.319638884
1.044579642,0.319831504
1.072697604,0.320197768
1.10155313,0.320742783
1.131156844,0.321472159
1.192647427,0.323508697
1.257241018,0.326360806
1.32499401,0.330089932
1.470089497,0.340474514
1.627872383,0.355366285
1.797662183,0.3756886
1.97787729,0.402646139
2.165675081,0.437796473
2.356510538,0.483125064
2.543642837,0.541103864
2.632995867,0.575746218
2.717671439,0.614695263
2.796040727,0.658375042
2.866297828,0.707214346
2.926501614,0.761619722
2.952199515,0.791025122
2.974615645,0.821952518
2.993492535,0.85443407
3.008577649,0.88849395
3.019623527,0.924148037
3.026397886,0.961400453
3.028682991,1.000243274
3.026280317,1.040654876
3.01901965,1.082597358
3.006758551,1.126015847
2.989389243,1.170837209
2.966843933,1.216968778
2.90617043,1.312687273
2.825105051,1.412017016
2.724816873,1.513483359
2.47512859,1.715651144
2.18038373,1.903560858
1.869104004,2.062251204
1.715786705,2.127056974
1.567749579,2.181008158
1.427084038,2.223740017
1.295278255,2.25526679
1.233006717,2.266922473
1.173255441,2.275924684
1.116063685,2.282354537
1.061444738,2.286304843
1.009390273,2.287877475
0.959872436,2.28718155
0.912847331,2.284331451
0.868257536,2.279444749
0.826034512,2.272641432
0.786101681,2.264041385
0.712767583,2.241928258
0.647542075,2.214036559
0.589684768,2.181247118
0.538463005,2.144374881
0.493175721,2.104160524
0.417840004,2.016283538
0.359103102,1.922036272
0.313286943,1.824765524
0.277521624,1.726933668
0.249607808,1.630306621
0.22787657,1.536118573
0.211069435,1.445204998
0.198240862,1.358106183
0.188682747,1.275146138
0.184959378,1.23527522
0.181867502,1.19649179
0.179362221,1.158799601
0.177405621,1.12219706
0.176622733,1.104302869
0.175965311,1.086678751
0.175430173,1.06932343
0.17501437,1.052235511
0.174715198,1.03541346
0.174530271,1.018855545
0.174457467,1.002559877
0.174494854,0.986524495
0.174640705,0.970747348
0.174893556,0.955226241
0.175252164,0.939958874
0.175715433,0.924942921
0.1769524,0.895655731
0.178599375,0.867344809
0.180654099,0.839989458
0.183116619,0.813568709
0.189277855,0.763445014
0.197130605,0.71680142
0.20675697,0.673466836
0.218272644,0.633274313
0.231826925,0.596063253
0.247603635,0.561681034
0.265822103,0.529984662
0.286740282,0.500841134
0.310656752,0.47412886
0.337913918,0.449738349
0.368901547,0.427573123
0.404059899,0.407550774
0.443883434,0.389604188
0.488923454,0.373683248
0.539790445,0.359756781
0.597154003,0.347815703
0.661745586,0.33787451
0.696994226,0.333666956
0.734346962,0.329979284
0.773908355,0.326822918
0.81578422,0.324212109
0.837623788,0.323116477
0.860082617,0.322163828
0.883174344,0.321356785
0.906912039,0.320698363
0.93130889,0.320191764
0.95637803,0.319840434
0.982132439,0.319648097
1.008584864,0.319618774
1.035747423,0.319756862
1.063632016,0.320067066
1.092250215,0.320554424
1.121613166,0.321224334
1.182614253,0.323135586
1.24670717,0.325853485
1.384385105,0.333958806
1.534846647,0.346139835
1.697799346,0.363185923
1.872222765,0.386130453
2.056054311,0.416317163
2.245793992,0.455474565
2.436035136,0.505787452
2.618969501,0.569938453
2.704495559,0.608170856
2.783986465,0.651066087
2.855665837,0.699052086
2.917609386,0.752541762
2.944299653,0.781468717
2.967792321,0.811905417
2.987827226,0.843886903
3.004150288,0.877439954
3.016513109,0.912582914
3.024676156,0.949324382
3.028417971,0.987660117
3.027533507,1.027572983
3.021841892,1.069030679
3.011192298,1.111983869
2.995465177,1.156365153
2.974579246,1.202088394
2.917219876,1.297112355
2.839356456,1.395954636
2.627078535,1.59910798
2.355168383,1.797236779
2.049967963,1.974514941
1.739990905,2.117393498
1.59095631,2.173113894
1.449000312,2.217646195
1.315704919,2.250948488
1.252641447,2.263467285
1.192079959,2.273309433
1.13406831,2.280552
1.078627643,2.285284303
1.025756278,2.287605567
0.975432268,2.287622744
0.927616517,2.285448826
0.882255691,2.281200482
0.839284528,2.274997036
0.798628642,2.266958722
0.760206719,2.257205176
0.723931628,2.245855242
0.657460018,2.218827229
0.598475027,2.186764875
0.546240892,2.15049438
0.459240558,2.068263348
0.391382407,1.977239344
0.338471527,1.881371374
0.297184908,1.783610676
0.264951755,1.686105292
0.239812017,1.590379423
0.220282451,1.497485273
0.20524653,1.408123317
0.193866483,1.322734682
0.185516037,1.241571163
0.182326349,1.202613934
0.179730067,1.164747588
0.177688032,1.127971521
0.176864345,1.109990885
0.176167196,1.092280695
0.175593283,1.074839763
0.175139631,1.057666681
0.174803479,1.04075994
0.174582305,1.024117903
0.174473873,1.007738764
0.174476236,0.991620538
0.174587617,0.975761187
0.17480644,0.960158589
